clues,state_code,mun_code,loc_code,inst_code,est_type,typology,status_code,start_date,longitude,latitud,admin_inst,care_level,unit_stratum,last_move,claveentidad,entidad,clavejurisdicción,jurisdicción,clavemunicipio,municipio,clavelocalidad,localidad,tipodeestablecimiento,tipología,nombredelestablecimiento,unidades,e13,c1301,c1302,c1303,c1304,c1305,c1306,c1307,c1308,c1309,c1310,c1311,c1312,c1313,c1314,c1315,c1316,c1317,c1318,c1319,c1320,c1321,e14,c1400,c1401,c1402,c1403,c1404,c1405,c1406,c1408,e15,c1501,c1502,c1504,c1505,c1506,c1507,c1508,c1509,c1601,c1602,c1701,c1702,e18,c1801,c1803,c1804,c1805,c1806,c1807,c1808,c1809,c1810,c1811,c1812,c1813,c1814,c1815,c1816,c1817,c1818,c1819,c1820,c1821,c1822,c1823,c1824,c1825,c1826,e19,c1901,c1902,c1903,c1904,e20,c2001,c2002,c2003,c2004,c2005,e21,c2101,c2102,c2103,c2104,e22,c2201,c2202,c2204,e23,c2301,c2302,c2303,c2304,c2305,c2306,c2308,e24,c2401,c2402,c2403,c2404,c2405,c2406,c2407,c2408,c2409,c2410,c2411,c2412,c2413,c2414,c2415,e25,c2501,c2502,c2503,c2504,c2506,c1706,c1707,c1710,c1725,c1729,c1735,c1738,c1745,c1746,c1747,c1749,c1730,c1750
DGSSA001113,10,12,31,SSA,1,A,1,1975-01-01,-103.742,25.256001,SESA,1,1,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,31,NUEVO GRASEROS,CE,A,NUEVO GRACEROS,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001125,10,12,55,SSA,1,A,1,2001-03-01,-103.749,25.4568,SESA,1,1,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,55,EJIDO 21 DE MARZO,CE,A,VEINTIUNO DE MARZO,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001130,10,12,57,SSA,1,B,1,1969-01-01,-103.599,25.495199,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,57,CIUDAD JUAREZ,CE,B,"CD. JUAREZ, DGO.",1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001166,10,13,14,SSA,1,B,1,1983-02-01,-103.619,25.881599,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,13,MAPIMI,14,BERMEJILLO,CE,B,BERMEJILLO,1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001171,10,13,22,SSA,1,A,1,1978-01-01,-104.127,26.5243,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,13,MAPIMI,22,CEBALLOS,CE,A,CEBALLOS,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001183,10,13,63,SSA,1,A,1,1985-01-01,-104.096,26.1364,SESA,1,1,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,13,MAPIMI,63,JARALITO,CE,A,JARALITO,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001200,10,14,1,SSA,1,P,1,1995-03-01,-104.395,23.4744,SESA,1,2,CAMBIO,10,DURANGO,1,DURANGO,14,MEZQUITAL,1,SAN FRANCISCO DEL MEZQUITAL,CE,P,"CARAVANA DIGNIFICADA/ALINEADA, MEZQUITAL 1, ALAMOS",1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001212,10,14,8,SSA,1,A,1,1974-06-01,-104.584,23.2211,SESA,1,1,CAMBIO,10,DURANGO,1,DURANGO,14,MEZQUITAL,8,YONORA,CE,A,YONORA (MEZQUITAL),1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001224,10,14,15,SSA,2,N,1,1999-07-01,-104.62933,22.961674,SESA,2,1,CAMBIO,10,DURANGO,1,DURANGO,14,MEZQUITAL,15,LA GUAJOLOTA,HO,N,HOSPITAL INTEGRAL LA GUAJOLOTA,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,14,0,3,3,3,3,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,7,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,10,5,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,8,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,2016
DGSSA001241,10,14,16,SSA,1,P,1,1998-03-01,-104.498,22.524599,SESA,1,1,CAMBIO,10,DURANGO,1,DURANGO,14,MEZQUITAL,16,HUAZAMOTA,CE,P,"CARAVANA DIGNIFICADA/ALINEADA, MEZQUITAL 5, MAYPURA",1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
